,event_id_cnty,event_date,year,time_precision,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,admin1,admin2,admin3,location,latitude,longitude,geo_precision,fatalities,tags,population_best,civilian_targeting_dummy
1109,UKR76090,2022-10-13,2022,1,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-),,External/Other forces,State forces-External/Other forces,,Mykolaiv,Mykolaivskyi,Mykolaivska,Mykolaiv,46.9672,32.0183,2,0,,123058.0,0
1110,UKR76086,2022-10-13,2022,1,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-),,External/Other forces,State forces-External/Other forces,,Mykolaiv,Bashtanskyi,Bashtanska,Bashtanka,47.4072,32.4387,2,0,,15510.0,0
1111,UKR76087,2022-10-13,2022,1,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-),,External/Other forces,State forces-External/Other forces,,Kherson,Beryslavskyi,Beryslavska,Beryslav,46.8415,33.4284,2,0,,9755.0,0
1112,UKR76078,2022-10-13,2022,1,Military Forces of Russia (2000-) Air Force,,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Kherson,Beryslavskyi,Velykooleksandrivska,Davydiv Brid,47.2407,33.1931,2,0,,1346.0,0
1113,UKR76088,2022-10-13,2022,1,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-),,External/Other forces,State forces-External/Other forces,,Kherson,Kakhovskyi,Kakhovska,Kakhovka,46.8137,33.487,2,0,,20083.0,0
1114,UKR121322,2022-10-13,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Donetsk,Pokrovskyi,Ocheretynska,Novoselivka Persha,48.1966,37.5296,2,0,,1201.0,0
1115,UKR121323,2022-10-13,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Donetsk,Pokrovskyi,Kurakhivska,Sontsivka,48.0522,37.1884,2,0,,845.0,0
1116,UKR76753,2022-10-13,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Zaporizhia,Polohivskyi,Huliaipilska,Huliaipole,47.6639,36.2563,2,0,,10741.0,0
1117,UKR120818,2022-10-14,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Kherson,Beryslavskyi,Novovorontsovska,Osokorivka,47.4473,33.9232,2,10,,1286.0,0
1118,UKR76811,2022-10-14,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Kharkiv,Kupianskyi,Dvorichanska,Dvorichna,49.8502,37.6826,2,10,,3128.0,0
1119,UKR77200,2022-10-15,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Kharkiv,Kupianskyi,Kurylivska,Hlushkivka,49.5858,37.7083,2,0,,1522.0,0
1120,UKR121006,2022-10-15,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Donetsk,Kramatorskyi,Lymanska,Koroviy Yar,49.1549,37.6295,2,0,,359.0,0
1121,UKR121007,2022-10-15,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Kharkiv,Kupianskyi,Kurylivska,Novoosynove,49.6193,37.7098,2,0,,2326.0,0
1122,UKR121008,2022-10-15,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Donetsk,Bakhmutskyi,Soledarska,Nykyforivka,48.7706,37.8991,2,0,,462.0,0
1123,UKR121009,2022-10-15,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Donetsk,Kramatorskyi,Lymanska,Shandryholovo,49.0908,37.7211,2,0,,908.0,0
1124,UKR77212,2022-10-15,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Kherson,Beryslavskyi,Velykooleksandrivska,Bilohirka,47.1988,33.1371,2,4,,142.0,0
1125,UKR77213,2022-10-15,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Kherson,Beryslavskyi,Velykooleksandrivska,Davydiv Brid,47.2407,33.1931,2,2,,1346.0,0
